date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2020-07-16,0.14007699489593506,2,0,0.2644200026988983,0.06894929707050323,1,Aston Villa,0.14007699489593506,409107,0,2019,1,90,MC,11997,1,Everton,0.05539330095052719,0
2020-07-12,0.025256499648094177,1,0,0.15099500119686127,0.06084959954023361,2,Crystal Palace,0.025256499648094177,407815,0,2019,0,90,MC,11983,1,Aston Villa,0.0648891031742096,0
2020-07-09,0.036552198231220245,2,0,0.07785850018262863,0.08540509641170502,0,Manchester United,0.036552198231220245,407177,0,2019,3,64,MC,11974,2,Aston Villa,0.023560600355267525,0
2020-07-05,0.01192140020430088,1,0,0.3563219904899597,0.1017099991440773,2,Aston Villa,0.01192140020430088,405777,0,2019,0,90,MC,11966,1,Liverpool,0.3444010019302368,0
2020-06-27,0,1,0,0.026355300098657608,0.026355300098657608,0,Wolverhampton Wanderers,0,402919,0,2019,1,26,Sub,11954,0,Aston Villa,0,0
2020-06-24,0.17853699624538422,0,0,0.4776189923286438,0,1,Aston Villa,0.17853699624538422,402417,0,2019,1,79,MC,11949,3,Newcastle United,0.2990820109844208,0
2020-06-21,0.12958799302577972,0,0,0.12958799302577972,0,1,Chelsea,0.12958799302577972,401665,0,2019,2,90,MC,11933,1,Aston Villa,0,0
2020-06-17,0.13796399533748627,0,0,0.051637500524520874,0,0,Sheffield United,0.13796399533748627,400329,0,2019,0,77,MC,11913,2,Aston Villa,0,0
2019-12-21,0,0,0,0,0,1,Southampton,0,371568,0,2019,3,7,MC,11813,0,Aston Villa,0,0
2019-12-14,0,3,0,0.17756299674510956,0.04790309816598892,2,Aston Villa,0,369843,0,2019,0,90,MC,11810,0,Sheffield United,0.14164899289608002,0
2019-12-08,0.009212220087647438,1,0,0.16214099526405334,0.04783859848976135,1,Leicester,0.009212220087647438,369057,0,2019,4,90,MC,11793,1,Aston Villa,0.15292899310588837,0
2019-12-04,0,3,0,0.6210340261459351,0.10529699921607971,2,Aston Villa,0,367685,0,2019,1,90,MC,11789,0,Chelsea,0.6210340261459351,0
2019-12-01,0,3,0,0.11921600252389908,0.11806199699640274,2,Aston Villa,0,367077,0,2019,2,90,MC,11782,0,Manchester United,0.01938690058887005,0
2019-11-25,0.24623200297355652,1,0,1.3150500059127808,0.09168750047683716,2,Newcastle United,0.24623200297355652,365800,0,2019,0,90,MC,11764,3,Aston Villa,1.0688199996948242,0
2019-11-10,0.06132040172815323,1,0,0.06132040172815323,0.06896930187940598,2,Aston Villa,0.06132040172815323,363898,0,2019,1,90,MC,11760,2,Wolverhampton Wanderers,0,0
2019-11-02,0,1,0,0.051602501422166824,0.4429689943790436,1,Liverpool,0,361587,1,2019,2,90,MC,11744,0,Aston Villa,0.051602501422166824,0
2019-10-26,0.31146401166915894,0,0,0.332845002412796,0,3,Aston Villa,0.31146401166915894,359190,0,2019,0,90,MC,11737,2,Manchester City,0.021381499245762825,0
2019-10-19,0.6085889935493469,3,0,0.7592520117759705,0.2152319997549057,2,Brighton,0.6085889935493469,357759,0,2019,1,90,MC,11723,6,Aston Villa,0.06731639802455902,0
2019-10-05,0.10741399973630905,1,0,0.7116950154304504,0.12728899717330933,1,Aston Villa,0.10741399973630905,356295,0,2019,5,90,MC,11717,3,Norwich,0.47699201107025146,0
2019-09-28,0.3101789951324463,2,1,0.547631025314331,0.10802800208330154,2,Burnley,0.3101789951324463,354561,0,2019,2,90,MC,11706,4,Aston Villa,0.12942400574684143,1
2019-09-22,0.6648889780044556,1,1,0.7341279983520508,0.15640400350093842,3,Aston Villa,0.6648889780044556,353101,0,2019,2,90,MC,11702,6,Arsenal,0.5452809929847717,1
2019-09-16,0.09901080280542374,1,0,0.29172199964523315,0.05916890129446983,0,West Ham,0.09901080280542374,350184,0,2019,0,90,MC,11692,3,Aston Villa,0.133542001247406,0
2019-08-31,0,2,0,0.06997139751911163,0.04812150076031685,1,Aston Villa,0,347475,0,2019,0,90,MC,11676,0,Crystal Palace,0.03717609867453575,0
2019-08-23,0,1,0,0.3734480142593384,0.2591559886932373,2,Everton,0,343738,1,2019,0,90,MC,11663,0,Aston Villa,0.11429200321435928,0
2019-08-17,0.11478500068187714,2,0,0.9072960019111633,0.03995069861412048,1,Bournemouth,0.11478500068187714,341820,0,2019,2,90,MC,11654,6,Aston Villa,0.792510986328125,0
2019-08-10,0.3131900131702423,1,1,0.45111098885536194,0.13792100548744202,3,Aston Villa,0.3131900131702423,341365,0,2019,1,90,MC,11649,2,Tottenham,0,1
